latitude,longitude,name,desc,color
45.56121,-122.540627,"11918 NE Sumner St, Portland, OR 97220","11918 Northeast Sumner Street, Portland, Multnomah County, OR, US",
45.489407,-122.62186,"4615 SE 40th Ave, Portland, OR 97202","4615 Southeast 40th Avenue, Portland, Multnomah County, OR, US",
45.593232,-122.755612,"7537 N New York Ave, Portland, OR 97203","7537 North New York Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2415 SE 152nd Ave #10, Portland, OR 97230",US,
45.560541,-122.674865,"5202 North Albina ave, portland, OR 97217","5202 North Albina Avenue, Portland, Multnomah County, OR, US",
45.577381,-122.705944,"3823 N. Lombard St., Portland, OR 97217","3823 North Lombard Street, Portland, Multnomah County, OR, US",
45.521322,-122.641232,"204 SE 24th Ave, Portland, OR 97214","204 Southeast 24th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"10575 NW Damascus Ct, Portland, OR 97229",US,
39.78373,-100.445882,"1235 SE Division Street, #110, Portland, OR 97202",US,
39.78373,-100.445882,"2929 SW Multnomah Blvd #106, Portland, OR 97219",US,
39.78373,-100.445882,"4804 NW Bethany Blvd-312, Portland, OR 97229",US,
45.460149,-122.801562,"11905 SW Steamboat Dr., Beaverton, OR 97008","11905 Southwest Steamboat Drive, Beaverton, Washington County, OR, US",
39.78373,-100.445882,"2730 N. Killingsworth, Portland, OR 97217",US,
45.566252,-122.672614,"5944 N Kerby Ave, Portland, OR 97217","5944 North Kerby Avenue, Portland, Multnomah County, OR, US",
45.520241,-122.68242,"1013 SW Morrison St. , Portland, OR 97205 , Portland, OR 97205","1013 Southwest Morrison Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2177 NW Raleigh , Portland, OR 97202",US,
45.494066,-122.632463,"3944 SE 32nd Ave, Portland, OR 97202","3944 Southeast 32nd Avenue, Portland, Multnomah County, OR, US",
45.52126,-122.655528,"222 SE 10th Ave, Portland, OR 97214","222 Southeast 10th Avenue, Portland, Multnomah County, OR, US",
45.47857,-122.605561,"6034 SE 56th Ave, Portland, OR 97206","6034 Southeast 56th Avenue, Portland, Multnomah County, OR, US",
45.472305,-122.713112,"7211 SW 35th Ave, Portland, OR 97219","7211 Southwest 35th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2025 NE 44th Unit 507, Portland, OR 97213",US,
39.78373,-100.445882,"6836 N williams, Portland, OR 97211",US,
39.78373,-100.445882,"7100 SW Hampton St., Ste. 121-L, Tigard, OR 97223",US,
39.78373,-100.445882,"2034 Columbia Blvd #109, ST. HELENS, OR 97051-2003",US,
45.573418,-122.648723,"1625 NE Bryant St, Portland, OR 97211","1625 Northeast Bryant Street, Portland, Multnomah County, OR, US",
